pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
Kepler-676 b,Kepler-676,296.222,50.287,9.480,3.040,11.60,396,Transit,2016,,295.20
Kepler-1061 b,Kepler-1061,296.230,50.275,4.580,1.980,2.76,1332,Transit,2016,,543.38
Kepler-1739 b,Kepler-1739,296.232,47.679,6.480,2.431,7.34,839,Transit,2021,,783.67
Kepler-1340 b,Kepler-1340,296.233,42.473,3.020,1.550,0.67,2174,Transit,2016,,981.78
Kepler-818 b,Kepler-818,296.235,39.370,22.900,5.110,10.04,786,Transit,2016,,925.04
HIP 97166 b,HIP 97166,296.245,74.063,19.100,2.480,10.29,702,Transit,2021,K0 V,65.95
HIP 97166 c,HIP 97166,296.245,74.063,8.000,2.750,16.43,642,Radial Velocity,2021,K0 V,65.95
Kepler-1886 b,Kepler-1886,296.265,39.406,7.180,2.582,24.28,580,Transit,2021,,1059.51
Kepler-1336 b,Kepler-1336,296.278,46.900,4.580,1.980,23.20,793,Transit,2016,,1126.64
Kepler-1336 c,Kepler-1336,296.278,46.900,3.570,1.710,5.78,1260,Transit,2016,,1126.64
Kepler-228 b,Kepler-228,296.286,48.225,2.960,1.530,2.57,1360,Transit,2014,,1644.61
Kepler-228 c,Kepler-228,296.286,48.225,7.750,2.700,4.13,1160,Transit,2014,,1644.61
Kepler-228 d,Kepler-228,296.286,48.225,15.400,4.040,11.09,835,Transit,2014,,1644.61
Kepler-1375 b,Kepler-1375,296.294,43.403,3.680,1.740,3.30,1543,Transit,2016,,1430.84
Kepler-394 b,Kepler-394,296.302,50.672,3.190,1.600,8.01,1035,Transit,2014,,1058.72
Kepler-394 c,Kepler-394,296.302,50.672,3.390,1.660,12.13,901,Transit,2014,,1058.72
Kepler-394 d,Kepler-394,296.302,50.672,2.860,1.501,5.61,1165,Transit,2021,,1058.72
